epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,11538.4,0.27697,0.13915,0.00232,0.21095,0.81249,0.95326,0.94435,0.97468,0.82782,0.9436,0.93478,0.95647,0.92079,0.6288,0.48428,0.01363,0.38377,1.07117,0.00564135,0.00564135,0.00564135
51,11768.2,0.27523,0.14005,0.00241,0.20723,0.81172,0.96356,0.94279,0.9761,0.827,0.95214,0.92435,0.95713,0.92295,0.63376,0.49845,0.01499,0.38916,1.09316,0.0055,0.0055,0.0055
52,11998.2,0.26472,0.12411,0.00227,0.20063,0.80939,0.95087,0.9424,0.97191,0.8265,0.94362,0.91913,0.95081,0.91433,0.61909,0.51044,0.0147,0.38219,1.06747,0.00535865,0.00535865,0.00535865
53,12227.2,0.26104,0.11738,0.00165,0.19922,0.80793,0.95749,0.94087,0.9744,0.82578,0.94337,0.92716,0.95752,0.92298,0.63225,0.4954,0.01468,0.3787,1.08766,0.00521744,0.00521744,0.00521744
54,12456.3,0.25811,0.11983,0.00236,0.19834,0.80724,0.95196,0.95217,0.9739,0.82885,0.94593,0.92803,0.95855,0.92233,0.62816,0.50727,0.01235,0.37623,1.08776,0.00507651,0.00507651,0.00507651
55,12685.1,0.24494,0.10207,0.00163,0.19006,0.80104,0.96281,0.94538,0.97624,0.82962,0.95433,0.92696,0.95917,0.92658,0.62242,0.49107,0.01322,0.37,1.0814,0.004936,0.004936,0.004936
56,12917.4,0.24693,0.10685,0.00155,0.19027,0.80185,0.9556,0.95451,0.9764,0.8299,0.94266,0.92696,0.95648,0.92256,0.62379,0.49712,0.01238,0.37422,1.08679,0.00479604,0.00479604,0.00479604
57,13146.1,0.23811,0.09788,0.00151,0.18325,0.79828,0.96253,0.94174,0.97625,0.83296,0.95183,0.92782,0.96134,0.93046,0.6229,0.48408,0.01203,0.37374,1.09662,0.00465678,0.00465678,0.00465678
58,13377.2,0.23084,0.10085,0.00223,0.18001,0.79679,0.95435,0.94538,0.9762,0.83818,0.94879,0.92348,0.96235,0.92561,0.61453,0.49016,0.01332,0.36964,1.08104,0.00451836,0.00451836,0.00451836
59,13607.3,0.22703,0.09491,0.00179,0.17876,0.79478,0.94267,0.95806,0.97587,0.83599,0.92899,0.94418,0.9594,0.93023,0.61905,0.48804,0.01318,0.36905,1.09201,0.0043809,0.0043809,0.0043809
60,13836.5,0.22274,0.0907,0.00154,0.17697,0.79503,0.94965,0.9513,0.9756,0.83562,0.94127,0.93381,0.95347,0.92506,0.6143,0.49637,0.01131,0.37506,1.08515,0.00424454,0.00424454,0.00424454
61,14066.8,0.21689,0.09151,0.00169,0.1726,0.79294,0.96872,0.94262,0.97639,0.8344,0.957,0.92609,0.95781,0.92497,0.60401,0.49953,0.01183,0.36488,1.07737,0.00410942,0.00410942,0.00410942
62,14295.4,0.20974,0.08013,0.00172,0.16832,0.78975,0.96875,0.94609,0.97555,0.8337,0.94816,0.92609,0.95491,0.92404,0.60645,0.49504,0.01326,0.36626,1.08504,0.00397568,0.00397568,0.00397568
63,14524.7,0.20729,0.07787,0.00154,0.16602,0.78932,0.96205,0.94783,0.9768,0.84173,0.94381,0.92957,0.95762,0.92373,0.60043,0.5037,0.01272,0.36531,1.07461,0.00384344,0.00384344,0.00384344
64,14753.5,0.20219,0.07611,0.00128,0.16291,0.7902,0.96221,0.95219,0.97787,0.84084,0.94584,0.93478,0.95878,0.92858,0.604,0.49143,0.01214,0.36451,1.07459,0.00371283,0.00371283,0.00371283
65,14982.6,0.19831,0.07347,0.0012,0.1586,0.78698,0.96365,0.94696,0.97742,0.84327,0.94586,0.92957,0.95761,0.92421,0.60223,0.49249,0.01295,0.36155,1.07674,0.00358399,0.00358399,0.00358399
66,15212.3,0.19329,0.06713,0.00129,0.15631,0.78614,0.96716,0.95217,0.97834,0.84251,0.9502,0.92435,0.95682,0.92405,0.59843,0.50762,0.01253,0.35496,1.07857,0.00345704,0.00345704,0.00345704
67,15441.5,0.1882,0.06936,0.00102,0.15411,0.78424,0.96623,0.94537,0.97914,0.84635,0.94838,0.92668,0.95976,0.92958,0.59655,0.48555,0.0122,0.35732,1.07874,0.00333211,0.00333211,0.00333211
68,15670.1,0.18169,0.05974,0.00103,0.15025,0.78175,0.9649,0.94522,0.97581,0.84248,0.95365,0.93035,0.9587,0.92792,0.59454,0.48246,0.01204,0.35697,1.07754,0.00320931,0.00320931,0.00320931
69,15900.3,0.17636,0.05952,0.00113,0.14601,0.78094,0.96134,0.94348,0.97451,0.84086,0.94903,0.9313,0.95889,0.92289,0.59626,0.49848,0.01288,0.35961,1.07983,0.00308878,0.00308878,0.00308878
70,16129.4,0.17415,0.0561,0.00079,0.14459,0.78064,0.95974,0.95217,0.97635,0.84298,0.94402,0.93853,0.95945,0.92565,0.59572,0.49725,0.01349,0.35773,1.07806,0.00297062,0.00297062,0.00297062
71,16358.4,0.16815,0.0623,0.00122,0.14082,0.78046,0.96303,0.95124,0.97546,0.84123,0.9441,0.92957,0.95439,0.92328,0.59483,0.49741,0.01303,0.3623,1.0805,0.00285497,0.00285497,0.00285497
72,16586.6,0.16713,0.06407,0.00121,0.13992,0.77942,0.96035,0.94789,0.97453,0.84083,0.9483,0.93565,0.95669,0.9243,0.59376,0.48362,0.01266,0.35699,1.08151,0.00274192,0.00274192,0.00274192
73,16815.7,0.15848,0.04834,0.00078,0.13315,0.77742,0.96192,0.9487,0.97659,0.84372,0.94517,0.93217,0.96027,0.92706,0.59146,0.49209,0.01274,0.35969,1.08058,0.00263159,0.00263159,0.00263159
74,17045.8,0.15661,0.05119,0.00091,0.13298,0.77722,0.96318,0.95547,0.97692,0.84401,0.95049,0.93482,0.96074,0.92652,0.58788,0.49232,0.01269,0.35933,1.0784,0.0025241,0.0025241,0.0025241
75,17277.1,0.15557,0.05184,0.0011,0.1323,0.777,0.96601,0.94957,0.9752,0.84265,0.95205,0.93243,0.95762,0.92572,0.58687,0.4944,0.01271,0.36125,1.07655,0.00241954,0.00241954,0.00241954
76,17507,0.14753,0.04675,0.00068,0.12739,0.77485,0.9627,0.94696,0.97496,0.84209,0.94884,0.93543,0.95856,0.9249,0.58436,0.49554,0.01275,0.36672,1.07521,0.00231802,0.00231802,0.00231802
77,17736.3,0.14651,0.04796,0.0006,0.12513,0.77501,0.96553,0.94998,0.97733,0.84625,0.94981,0.93043,0.96124,0.92997,0.58511,0.49449,0.01269,0.35831,1.07716,0.00221964,0.00221964,0.00221964
78,17965.7,0.13946,0.04565,0.001,0.12124,0.77265,0.96236,0.94957,0.97712,0.84797,0.94624,0.93565,0.96215,0.93241,0.58308,0.48882,0.01361,0.35677,1.07721,0.0021245,0.0021245,0.0021245
79,18196.2,0.13846,0.0429,0.00059,0.12005,0.77285,0.95714,0.95145,0.97658,0.84886,0.94218,0.93565,0.96038,0.92877,0.58085,0.48697,0.01351,0.35588,1.07725,0.00203269,0.00203269,0.00203269
80,18425.7,0.13271,0.03932,0.0005,0.11658,0.77167,0.96249,0.9513,0.97508,0.84722,0.94661,0.93565,0.95996,0.92813,0.57988,0.48763,0.01352,0.35601,1.07894,0.0019443,0.0019443,0.0019443
81,18656.3,0.12934,0.03874,0.00049,0.11391,0.77014,0.96127,0.95304,0.97664,0.84965,0.9464,0.93661,0.96118,0.92893,0.58107,0.49055,0.0143,0.3566,1.07982,0.00185942,0.00185942,0.00185942
82,18885.9,0.1246,0.03497,0.00056,0.1109,0.77022,0.96095,0.9487,0.97749,0.84895,0.94457,0.93217,0.95907,0.92822,0.58103,0.4961,0.01434,0.3567,1.08127,0.00177814,0.00177814,0.00177814
83,19116.6,0.12292,0.03548,0.00037,0.11026,0.77,0.95964,0.9487,0.97707,0.84777,0.94345,0.93217,0.95904,0.92835,0.58148,0.49352,0.01425,0.35817,1.08144,0.00170052,0.00170052,0.00170052
84,19346.5,0.12151,0.03666,0.00044,0.10839,0.77055,0.95992,0.9487,0.97723,0.84834,0.94534,0.93242,0.96018,0.92782,0.57821,0.49018,0.01467,0.35826,1.07861,0.00162666,0.00162666,0.00162666
85,19575.8,0.11686,0.03414,0.00055,0.10483,0.76873,0.95991,0.9513,0.97736,0.84866,0.95043,0.93357,0.96048,0.92757,0.57784,0.48888,0.01498,0.35856,1.07901,0.00155662,0.00155662,0.00155662
86,19805.5,0.11576,0.0392,0.00057,0.1041,0.76985,0.96376,0.94696,0.97691,0.84771,0.9496,0.93304,0.96016,0.92581,0.5766,0.49124,0.01529,0.36019,1.07855,0.00149047,0.00149047,0.00149047
87,20034.7,0.11403,0.03269,0.00036,0.10294,0.76878,0.96369,0.94633,0.97666,0.84843,0.94596,0.93217,0.95883,0.92703,0.5744,0.48844,0.01532,0.36345,1.07614,0.00142828,0.00142828,0.00142828
88,20263.5,0.1128,0.03107,0.0004,0.10218,0.7686,0.96724,0.94261,0.97605,0.84642,0.95106,0.92696,0.9576,0.92608,0.57573,0.4892,0.01497,0.36319,1.07861,0.0013701,0.0013701,0.0013701
89,20493,0.10833,0.03175,0.00057,0.09846,0.76628,0.96046,0.95062,0.97606,0.84685,0.95276,0.92956,0.95864,0.9259,0.57536,0.49028,0.01488,0.36371,1.08095,0.00131601,0.00131601,0.00131601
90,20726.4,0.10446,0.02883,0.0003,0.09645,0.76651,0.95822,0.95652,0.97593,0.8478,0.94303,0.94087,0.95844,0.92638,0.57444,0.49109,0.01472,0.36415,1.08152,0.00126604,0.00126604,0.00126604
91,20957.8,0.10858,0.04084,0.00063,0.09976,0.76827,0.95733,0.95596,0.97603,0.84686,0.94166,0.94031,0.95871,0.92557,0.57464,0.49076,0.01506,0.36512,1.08231,0.00122025,0.00122025,0.00122025
92,21190,0.1048,0.03502,0.00071,0.09625,0.768,0.9705,0.94087,0.97562,0.84738,0.95346,0.92435,0.95649,0.92483,0.57481,0.49485,0.01478,0.36617,1.0839,0.00117868,0.00117868,0.00117868
93,21425.4,0.10109,0.03155,0.00068,0.09386,0.76613,0.95962,0.95051,0.97571,0.84702,0.95026,0.92435,0.95583,0.92439,0.57411,0.49536,0.01474,0.36676,1.08313,0.00114138,0.00114138,0.00114138
94,21657.6,0.09874,0.03059,0.00038,0.09243,0.76539,0.9597,0.95248,0.97637,0.84727,0.95197,0.92696,0.95582,0.92414,0.57522,0.49741,0.01469,0.36468,1.08488,0.00110837,0.00110837,0.00110837
95,21888.3,0.09832,0.02788,0.00058,0.09171,0.76602,0.96878,0.94439,0.97603,0.8478,0.95272,0.92696,0.95605,0.92447,0.57453,0.49506,0.01466,0.36357,1.08632,0.00107971,0.00107971,0.00107971
96,22120.8,0.09813,0.0326,0.00072,0.09155,0.76581,0.96545,0.94754,0.97678,0.84784,0.94764,0.93043,0.95736,0.92532,0.57412,0.49242,0.01488,0.36227,1.08631,0.0010554,0.0010554,0.0010554
97,22351.9,0.09739,0.03262,0.0003,0.09049,0.76592,0.95648,0.95554,0.97675,0.84852,0.95256,0.92534,0.9575,0.92551,0.5726,0.49209,0.01474,0.3636,1.08504,0.00103548,0.00103548,0.00103548
98,22584.1,0.09227,0.02568,0.00026,0.08703,0.76488,0.95727,0.95445,0.97721,0.84912,0.94613,0.9317,0.95826,0.9269,0.57243,0.48907,0.01472,0.36596,1.08497,0.00101997,0.00101997,0.00101997
